	rho_Mean	rho_Stability	rho_Slope	BF_Mean	BF_Stability	BF_Slope
NEO_N1_T	-0.0482122359280155	-0.0283070187655923	-0.0195387164483432	0.188045378816528	0.130969672524214	0.118451294780075
NEO_N2_T	-0.0532789701626539	-0.0277590583444603	0.00416320527305225	0.212301549057928	0.129686185895891	0.108542049892238
NEO_N3_T	-0.00663475387936868	0.00702891856672743	0.0215327537486009	0.109224570144873	0.10940440572246	0.120643087772863
NEO_N4_T	-0.0671073871926018	-0.0208165886125424	0.00754943602612439	0.315275592744477	0.119874857989491	0.10958853193485
NEO_N5_T	-0.147355022785381	-0.0746720798164471	-0.0861419797936671	19.8754230475337	0.407775104010326	0.633067762059136
NEO_N6_T	0.0171462073778149	0.00860016614268113	0.0621483887785984	0.115936360199353	0.110025388502704	0.271267932845429
NEO_E1_T	-0.113947582350179	-0.0955057367675213	-0.117348515625716	2.4106138297514	0.9537066508414	2.90064843329777
NEO_E2_T	-0.0188805572804084	0.00730432079496828	-0.00477247426099407	0.117755732896826	0.109464659794288	0.108692787100271
NEO_E3_T	-0.0799773522523034	-0.0817908014821065	-0.107806588746665	0.496042117330338	0.532100380389441	1.72598522029818
NEO_E4_T	-0.100204044789007	-0.0773889229791467	-0.111748570960931	1.19071190597723	0.449092546781577	2.1384294499897
NEO_E5_T	-0.0234609110778329	-0.0642943965725006	-0.0360023397374207	0.123210061748297	0.289265444005572	0.147057575245755
NEO_E6_T	-0.0814722772702989	-0.0641391456736896	-0.114163016953263	0.525636140933692	0.288326265312803	2.43282634451428
NEO_O1_T	-0.0823283702361422	-0.0759976498312422	-0.0929892680115393	0.544082509618775	0.427445632629154	0.849984485634105
NEO_O2_T	-0.0907983504003639	-0.0950383721446891	-0.135111527276387	0.771229414227159	0.934781026553958	8.59891323646654
NEO_O3_T	-0.106278716940592	-0.091700161053219	-0.134596550630918	1.60940570035611	0.803630358542529	8.27452227039049
NEO_O4_T	-0.0338663884910681	-0.0732823264856884	-0.107207299196938	0.142102818992238	0.38900173097048	1.67693146484922
NEO_O5_T	-0.0669897281022902	-0.093663740045584	-0.125748576117334	0.314146808193898	0.873393822908834	4.75565147986555
NEO_O6_T	0.0378716474597286	0.0140049388921935	-0.00170927642672755	0.152086241727946	0.11324919455077	0.108180375465251
NEO_A1_T	-0.0684228932044447	-0.0282555795697482	-0.0677378670160997	0.329018077447603	0.130626933839351	0.321495070024011
NEO_A2_T	-0.00244950070043762	-0.0125198031853398	0.00913809704870981	0.10826359444719	0.112240079652222	0.110269260246103
NEO_A3_T	-0.00110666596642594	-0.0361333416040853	-0.0536358185978885	0.108141495552603	0.147417142804983	0.214665951301988
NEO_A4_T	0.0487387841682712	0.0394684941096928	0.0289482256538291	0.190109856521372	0.156585921209487	0.131917100127716
NEO_A5_T	0.0534648498674878	0.0867583486223255	0.0712552772553165	0.213661497422931	0.651386643286408	0.36282970762974
NEO_A6_T	-0.143542425003026	-0.11730129356052	-0.142871437720509	15.1617298324826	2.89727703344544	14.3951411190888
NEO_C1_T	-0.046087751096277	-0.0261745539620012	-0.0644571839691493	0.179156841448752	0.127244839384412	0.290735024449817
NEO_C2_T	0.0114981569018673	0.0217092711345087	-0.0123609657876494	0.111572980389125	0.120866396936953	0.112098172673609
NEO_C3_T	-0.0355614858345501	-0.0103883833797894	-0.0381593358664571	0.146070865259398	0.110943001306974	0.152833339473129
NEO_C4_T	-0.113402002608293	-0.113332868135759	-0.133312946803046	2.32969189612013	2.31883775715432	7.6547916880643
NEO_C5_T	-0.0186802089997235	0.00326213043912958	-0.0275610445467412	0.117361787344912	0.108382919821937	0.129462197814737
NEO_C6_T	0.0633070557883706	0.0599865017941082	0.0482804767131764	0.280315560758132	0.254449071136264	0.188471153384868
