	rho_Mean	rho_Stability	rho_Slope	BF_Mean	BF_Stability	BF_Slope
NEO_N1_T	-0.0449655143459994	-0.0243239640779006	-0.0165562817836924	0.174728589549021	0.124375972287647	0.11544945748764
NEO_N2_T	-0.0540320405448823	-0.0271364603078275	0.000333989971606211	0.216354301395149	0.128721198673616	0.108111729188826
NEO_N3_T	-0.0104130668301155	0.00358872882884095	0.0150755777809165	0.110936378493172	0.108447228729175	0.114061450479967
NEO_N4_T	-0.070587696673362	-0.0251773181960325	0.00220970400608541	0.353715584004654	0.125666608688812	0.108232598127813
NEO_N5_T	-0.143769272828363	-0.0670799922962666	-0.0777958573693967	15.462597299784	0.314532241055016	0.456480105899207
NEO_N6_T	0.0179969381843742	0.0072509262381327	0.0593565944673631	0.116841768738942	0.109461724604479	0.249775475607985
NEO_E1_T	-0.0814931918048338	-0.0562103848604894	-0.0734646132782365	0.525956056214613	0.229343202834035	0.390478151654558
NEO_E2_T	0.00955630859983229	0.0401004233536729	0.031749590267074	0.110469006008745	0.158463897317553	0.137329465999663
NEO_E3_T	-0.0691465850089127	-0.0673177001029384	-0.0931643861295279	0.33679032751012	0.318460354523473	0.855436289920557
NEO_E4_T	-0.083923642666331	-0.0557421653341136	-0.0856013286058869	0.578503514072256	0.226715380023243	0.621771772791537
NEO_E5_T	-0.00715788008454613	-0.0472273531965841	-0.0117163763463269	0.109394540789747	0.183755766679014	0.111692974466444
NEO_E6_T	-0.0566151183612258	-0.0330649900147948	-0.0731801188823639	0.231639082203721	0.140242915530193	0.387645630472863
NEO_O1_T	-0.0693605229374363	-0.061562716526876	-0.0749585402725279	0.339660957328478	0.2664172515826	0.411908203123033
NEO_O2_T	-0.0749763915920011	-0.0771813349235543	-0.116576601357017	0.41228545578593	0.448294600544343	2.78342792836847
NEO_O3_T	-0.0799575585224731	-0.0608939078210949	-0.0993397657941855	0.496735065249858	0.261211967617701	1.13712516403749
NEO_O4_T	-0.0165023494385454	-0.0548209239251616	-0.0883591114067432	0.115369992723229	0.220562852354645	0.694675876689486
NEO_O5_T	-0.0713458438450504	-0.100948295520802	-0.132493086878858	0.363252130826184	1.22657524774727	7.26690478665011
NEO_O6_T	0.0292701225364197	0.00187783022199302	-0.01053219161372	0.132353665070639	0.108199765476016	0.110988278614739
NEO_A1_T	-0.0568210214112573	-0.0144153792471139	-0.0519633644961051	0.23274022841482	0.113506930921921	0.205824462997386
NEO_A2_T	-0.00778190697192683	-0.0201940632795853	0.00151179535220414	0.109666534439223	0.119131766365062	0.108169155089834
NEO_A3_T	0.0103145450698064	-0.0258703572374837	-0.0360987517591855	0.110837623879499	0.126753202937836	0.147410292919912
NEO_A4_T	0.0400879121366326	0.0273056658721669	0.0111375406955376	0.158225340400693	0.129018413797606	0.111313693696267
NEO_A5_T	0.0370130930181148	0.0684208608445619	0.053475200264785	0.149701016455911	0.329642326175481	0.213591227216658
NEO_A6_T	-0.126388733986601	-0.0994093616388325	-0.122109212099479	4.92912997109359	1.14363886300349	3.8442510812918
NEO_C1_T	-0.0449695967874617	-0.0224654548687321	-0.0568007077015182	0.174770290364001	0.121948936047768	0.233099775160243
NEO_C2_T	-0.00662175399821564	0.00189805611320566	-0.0272847344706868	0.109257736272711	0.108198585710661	0.129063724075584
NEO_C3_T	-0.029593883342988	-0.00182757558013014	-0.0197329475012984	0.13307781805226	0.108197147406251	0.118509459194839
NEO_C4_T	-0.114596732936434	-0.113000628691988	-0.129480336611704	2.50517127029353	2.28495807775605	5.9833141603878
NEO_C5_T	-0.030471606309368	-0.00967436903446115	-0.0358923378489946	0.13478288906432	0.110510273087996	0.146827848663207
NEO_C6_T	0.0401095115389253	0.0338595980874566	0.0242219484022876	0.15842252185795	0.141892791436502	0.124176558973039
