Row	NEO_N1_T_rho	NEO_N2_T_rho	NEO_N3_T_rho	NEO_N4_T_rho	NEO_N5_T_rho	NEO_N6_T_rho	NEO_E1_T_rho	NEO_E2_T_rho	NEO_E3_T_rho	NEO_E4_T_rho	NEO_E5_T_rho	NEO_E6_T_rho	NEO_O1_T_rho	NEO_O2_T_rho	NEO_O3_T_rho	NEO_O4_T_rho	NEO_O5_T_rho	NEO_O6_T_rho	NEO_A1_T_rho	NEO_A2_T_rho	NEO_A3_T_rho	NEO_A4_T_rho	NEO_A5_T_rho	NEO_A6_T_rho	NEO_C1_T_rho	NEO_C2_T_rho	NEO_C3_T_rho	NEO_C4_T_rho	NEO_C5_T_rho	NEO_C6_T_rho	NEO_N1_T_p	NEO_N2_T_p	NEO_N3_T_p	NEO_N4_T_p	NEO_N5_T_p	NEO_N6_T_p	NEO_E1_T_p	NEO_E2_T_p	NEO_E3_T_p	NEO_E4_T_p	NEO_E5_T_p	NEO_E6_T_p	NEO_O1_T_p	NEO_O2_T_p	NEO_O3_T_p	NEO_O4_T_p	NEO_O5_T_p	NEO_O6_T_p	NEO_A1_T_p	NEO_A2_T_p	NEO_A3_T_p	NEO_A4_T_p	NEO_A5_T_p	NEO_A6_T_p	NEO_C1_T_p	NEO_C2_T_p	NEO_C3_T_p	NEO_C4_T_p	NEO_C5_T_p	NEO_C6_T_p
NEO_N1_T	0.803	0.48977117119278	0.659805621305126	0.514145196193254	0.319918648605671	0.57225087560397	-0.230770074664398	-0.163820029711711	-0.340754755910045	-0.137227560195582	-0.0915240410872503	-0.230444038901544	0.0944254528028363	0.00486043360950182	-0.0578180090841877	-0.231847315768313	-0.21226601476518	-0.205633564498984	-0.273854074229684	-0.121210322323628	-0.102105411808768	-0.0173344484903383	0.0904097486988592	0.146700542714276	-0.350884025602931	-0.167797611538163	-0.140373718017795	-0.118379863145796	-0.359705439825906	-0.136106470846208	-1	1.320476138409e-29	8.17823394094424e-60	6.15078548690853e-33	1.34541241037655e-12	4.62060955180254e-42	4.48205578183326e-07	0.000372892314525588	3.45639557952117e-14	0.0029314868599853	0.0478354028090545	4.6571500608589e-07	0.0411677843863555	0.916481592936248	0.211850029461111	3.94741792807162e-07	3.6104750647219e-06	7.30326049538254e-06	1.70087669196165e-09	0.00866865613532368	0.0271922984724943	0.708384435361374	0.0506260457564696	0.0014607771803931	5.26113214441659e-15	0.000266152982469926	0.0023367983708426	0.0103736850215307	9.65327836292317e-16	0.00317465869466885
NEO_N2_T	0.48977117119278	0.697	0.505108382734962	0.371378503658579	0.350583368315302	0.403731368495383	-0.354064671108719	-0.156654200861187	-0.0582174018990621	0.0623083632678506	0.0956279467367017	-0.167600258422062	0.0604826024187353	-0.0960570004708452	-0.169354255524121	-0.137122544130766	-0.18861377305266	-0.287739959838718	-0.469565318434249	-0.27937709966109	-0.372385373065422	-0.350929965559455	-0.0936251096485436	-0.028427677001572	-0.352878164226348	-0.153269349434013	-0.255804250881062	-0.0550038653366502	-0.303399850676719	-0.205056195690199	1.320476138409e-29	-1	1.13659388081445e-31	9.42818304941748e-17	5.56896127010575e-15	8.95221377753197e-20	2.87216324834527e-15	0.000671629648969144	0.208705340350817	0.178418944195222	0.0386439990570528	0.000270692166335859	0.191506421080391	0.0377758097608309	0.000232764081300058	0.00295352426798282	4.01974383747613e-05	2.25700168833879e-10	4.86233281935241e-27	7.72009867888902e-10	7.67972121921503e-17	5.21559100653262e-15	0.0429235661970142	0.539569537136827	3.60261119197661e-15	0.00087934121234273	1.99141827502812e-08	0.234978163695891	2.01859338709593e-11	7.75688128860106e-06
NEO_N3_T	0.659805621305126	0.505108382734962	0.773	0.536213068711034	0.236123604104853	0.598798566404278	-0.339032107856457	-0.220648028075463	-0.39171574556075	-0.198376426696893	-0.0389090879703997	-0.365830115963432	0.032487241104153	-0.0520844071624868	-0.250560792536805	-0.245391847329532	-0.199262029344128	-0.275971440310401	-0.305014394591714	-0.131604094919318	-0.190612973209224	-0.0233468101888958	0.152041586767878	0.0870469803802425	-0.455439499822362	-0.257053754958152	-0.23248375788245	-0.193507366793337	-0.425813688746205	-0.152755605096339	8.17823394094424e-60	1.13659388081445e-31	-1	3.39866166896672e-36	2.36959607036944e-07	7.17776944408192e-47	4.7285135583346e-14	1.43475273362604e-06	1.29919198168e-18	1.53851873990016e-05	0.401020909352031	2.88242558785529e-16	0.483233060722084	0.260797505087926	3.93286969000397e-08	7.5791893972123e-08	1.40681412766044e-05	1.25910112620084e-09	1.56064109498786e-11	0.0043468120063092	3.31491927327902e-05	0.614411252697982	0.000968334861758486	0.0598833926116173	2.40987948459782e-25	1.68949859990217e-08	3.66096403415784e-07	2.49874033818511e-05	4.89935340046474e-22	0.000915617806055617
NEO_N4_T	0.514145196193254	0.371378503658579	0.536213068711034	0.668	0.221475711785582	0.499050104842263	-0.329177573617687	-0.253338981207483	-0.482719009540521	-0.264036861693078	-0.081671253651925	-0.309020604371132	-0.0607907021599622	-0.13196915018283	-0.207424998807295	-0.295564287536198	-0.27789441056156	-0.265600937122758	-0.229350295930825	-0.0344344735858981	-0.182055314243411	0.0775658812515646	0.258257741222823	0.0662925816444935	-0.378884398995044	-0.145918977572273	-0.165181136531407	-0.239045419021791	-0.34970523808195	-0.075292617578952	6.15078548690853e-33	9.42818304941748e-17	3.39866166896672e-36	-1	1.30718851267755e-06	7.65328159149833e-31	2.73628219922564e-13	2.74751286446754e-08	1.08594833247938e-28	6.63321220190955e-09	0.077556363090635	8.1853841213007e-12	0.189249855305881	0.00423892089710311	6.05125333998717e-06	6.88069587599533e-11	9.56021820262824e-10	5.35980634152899e-09	5.29386227856418e-07	0.457384904327842	7.4612504857526e-05	0.0937293676713696	1.4407784913191e-08	0.152181575857026	2.0081928944708e-17	0.00154962525445959	0.000332536926860677	1.66259570943349e-07	6.57278946018874e-15	0.103783345240982
NEO_N5_T	0.319918648605671	0.350583368315302	0.236123604104853	0.221475711785582	0.529	0.22932553507115	-0.00775034310242654	0.152075829332725	0.0599320422396893	0.211636886507343	0.191643923061255	0.193662019790867	0.204729876238351	0.107579411340801	0.164479877275697	0.0833638585166825	-0.0386685063125513	-0.0302394803539832	-0.0527765402963455	-0.24713811524449	-0.108815820888188	-0.233871994756732	-0.0987392204350425	0.0647357004312683	-0.140596554611788	-0.176499068568543	-0.211114801928912	-0.0143047585246297	-0.245883742268422	-0.425550198480981	1.34541241037655e-12	5.56896127010575e-15	2.36959607036944e-07	1.30718851267755e-06	-1	5.30920309065511e-07	0.867197190378737	0.0009657440362507	0.195587821668078	3.8637387984802e-06	2.99887832962569e-05	2.46099644603953e-05	8.02500851234817e-06	0.0199209168725068	0.000352790250617849	0.0715846753765573	0.403941382533729	0.514027208316837	0.254506285670796	6.08245730196077e-08	0.0185353245557988	3.1038754870224e-07	0.0327149210871854	0.162062295199393	0.00229917385336688	0.000123928736642832	4.08671305390669e-06	0.757589706590667	7.12496716396028e-08	5.2254636772442e-22
NEO_N6_T	0.57225087560397	0.403731368495383	0.598798566404278	0.499050104842263	0.22932553507115	0.735	-0.366966599699408	-0.199841603335799	-0.525021141631318	-0.391352489092253	-0.106853120417315	-0.384304577276319	-0.045259172664645	-0.108343788339415	-0.256044777649682	-0.314006300755583	-0.332483107988682	-0.227763068670089	-0.24789274515801	-0.0173013048144993	-0.248221990440339	0.0129989117104259	0.171444919229382	0.0243444432580666	-0.560506287211844	-0.369558288751995	-0.345321030349372	-0.410932817571056	-0.562242956822374	-0.171495567351352	4.62060955180254e-42	8.95221377753197e-20	7.17776944408192e-47	7.65328159149833e-31	5.30920309065511e-07	-1	2.29673418389347e-16	1.32650201578196e-05	1.63423835851767e-34	1.40624589671336e-18	0.0207761701886297	6.41024266637472e-18	0.328575114863873	0.0190540632446467	1.9295078697466e-08	3.61630030377743e-12	1.52918063301958e-13	6.36860375664375e-07	5.52798445555721e-08	0.708916639747941	5.30166829434013e-08	0.779117484712522	0.000194056846810702	0.599360543574243	4.52656684266857e-40	1.36358360690304e-16	1.49191564807256e-14	1.70871931695173e-20	2.32458432147847e-40	0.000193198628009835
NEO_E1_T	-0.230770074664398	-0.354064671108719	-0.339032107856457	-0.329177573617687	-0.00775034310242654	-0.366966599699408	0.722	0.468652237078862	0.378097566495706	0.329818724365825	0.118602644202652	0.569111837444774	0.152985706531508	0.291787650687513	0.476572131949995	0.22599945057137	0.240924873947915	0.197804707362048	0.40205628360815	0.0925582432662623	0.531250798410868	0.134715254587468	-0.0703586541109798	0.256331518742286	0.401661956227612	0.195213235418981	0.319966273512814	0.361010866429045	0.358409978186663	-0.0343114146872749	4.48205578183326e-07	2.87216324834527e-15	4.7285135583346e-14	2.73628219922564e-13	0.867197190378737	2.29673418389347e-16	-1	6.29245608750673e-27	2.36609249339751e-17	2.44559577007578e-13	0.0102294338844473	1.60214577504483e-41	0.000899202232156494	1.22635796574286e-10	6.55034784748335e-28	7.80830787678799e-07	1.32050977161217e-07	1.62967935042762e-05	1.30840236246998e-19	0.0453617901072837	1.92675297929415e-35	0.00350184500229744	0.1285350892035	1.85813396012761e-08	1.43022182932242e-19	2.11115864786015e-05	1.33462075107212e-12	7.47717310269654e-16	1.24240307148587e-15	0.458995175785236
NEO_E2_T	-0.163820029711711	-0.156654200861187	-0.220648028075463	-0.253338981207483	0.152075829332725	-0.199841603335799	0.468652237078862	0.745	0.373565783244576	0.300814387059561	0.411480222600801	0.432130594892068	0.127605078755265	0.192813445848695	0.289971636164035	0.337286846520021	0.13113835499955	0.157238726112838	0.242498181803921	-0.0620825223303856	0.173774758485703	-0.0547097183123997	-0.207674951329745	0.0429559945396654	0.211673018795241	0.114321995295994	0.050551052926953	0.256489832827582	0.195338842873599	-0.136689419436791	0.000372892314525588	0.000671629648969144	1.43475273362604e-06	2.74751286446754e-08	0.0009657440362507	1.32650201578196e-05	6.29245608750673e-27	-1	6.03269792759005e-17	3.03781855985484e-11	1.5041135599768e-20	1.0275240973507e-22	0.00570193666693133	2.67495466940807e-05	1.61433281478207e-10	6.48262721257701e-14	0.00448806048218609	0.000640740387448644	1.08731279944014e-07	0.180000899800008	0.00015805980673636	0.237494709966847	5.89377107944904e-06	0.35381067192874	3.84874517555914e-06	0.0133360358156832	0.275114575318263	1.81982927396229e-08	2.08499900682112e-05	0.00304601585620364
NEO_E3_T	-0.340754755910045	-0.0582174018990621	-0.39171574556075	-0.482719009540521	0.0599320422396893	-0.525021141631318	0.378097566495706	0.373565783244576	0.826	0.539864104393408	0.299293429316922	0.420429895793778	0.0990174822265133	0.134149538227185	0.280501103448998	0.346319981293426	0.256280384126613	0.0947335423417682	0.054694743238986	-0.227812618521388	0.0381457575922134	-0.334557734683858	-0.428033468609162	-0.0575936473879737	0.468306330812398	0.273724473391998	0.187075119170359	0.56156654082772	0.375349902544299	-0.0224677232809468	3.45639557952117e-14	0.208705340350817	1.29919198168e-18	1.08594833247938e-28	0.195587821668078	1.63423835851767e-34	2.36609249339751e-17	6.03269792759005e-17	-1	9.30818130353816e-37	3.85626903491352e-11	1.80762091932795e-21	0.0322246667548719	0.00364342101146912	6.55948307836043e-10	1.23913984848481e-14	1.87067205479013e-08	0.040508260489096	0.23762333349925	6.33209017946904e-07	0.410330724291108	1.05753063683938e-13	2.84047341214437e-22	0.213631482292002	6.93669214226713e-27	1.7323317597749e-09	4.65637480293908e-05	3.0149219389769e-40	4.18065985046644e-17	0.627809311738185
NEO_E4_T	-0.137227560195582	0.0623083632678506	-0.198376426696893	-0.264036861693078	0.211636886507343	-0.391352489092253	0.329818724365825	0.300814387059561	0.539864104393408	0.66	0.295995880816197	0.452178138648968	0.145292896137454	0.223541345205953	0.315419105829516	0.267916654144793	0.22229162195646	0.128764933681931	0.0610397310635116	-0.123152784615452	0.118522210995731	-0.230764769325557	-0.241593759787561	0.0869737021086547	0.358931540968003	0.244204475842808	0.201465134601163	0.513336784440635	0.359724223649864	-0.160020464783048	0.0029314868599853	0.178418944195222	1.53851873990016e-05	6.63321220190955e-09	3.8637387984802e-06	1.40624589671336e-18	2.44559577007578e-13	3.03781855985484e-11	9.30818130353816e-37	-1	6.4374578972679e-11	5.78458046694609e-25	0.00162434715916064	1.03451089877618e-06	2.86098307561208e-12	3.89926220757876e-09	1.19212546899923e-06	0.00527431334794727	0.187440257863386	0.00764775948866643	0.0102813079316221	4.48485361949744e-07	1.2160067124833e-07	0.0600997477852782	1.12253997933327e-15	8.79376187909232e-08	1.12409183401899e-05	8.01296417022041e-33	9.61794211301216e-16	0.000510982681009057
